date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:13	4874/4874	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Apr%202025%2018:24:15%20GMT	https://www.molpi.com.ar/robots.txt		(from )
15:24:13	22087/22087	---M-Z	200	added ('OK')	text/html	etag:%2227c9c03251f6d81:0%22	https://www.molpi.com.ar/	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/index.html	(from )
15:24:13	12014/12014	---M--	200	added ('OK')	image/x-icon	etag:%2274b9aedd5178d41:0%22	https://www.molpi.com.ar/img/favicon.ico	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/img/favicon.ico	(from https://www.molpi.com.ar/)
15:24:13	10299/10299	---M--	200	added ('OK')	image/png	etag:%2254c44d95178d41:0%22	https://www.molpi.com.ar/img/apple-touch-icon.png	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/img/apple-touch-icon.png	(from https://www.molpi.com.ar/)
15:24:14	1446/1446	---MC-	200	added ('OK')	text/css	date:Sat,%2012%20Apr%202025%2018:24:17%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:300,400,600,700,800%7CShadows+Into+Light	C:/Mis%20lugares%20Web/Molpi/fonts.googleapis.com/cssfb2f.css	(from https://www.molpi.com.ar/)
15:24:14	121205/121205	---M-Z	200	added ('OK')	text/css	etag:%22909df4606518d41:0%22	https://www.molpi.com.ar/vendor/bootstrap/css/bootstrap.min.css	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/vendor/bootstrap/css/bootstrap.min.css	(from https://www.molpi.com.ar/)
15:24:14	31002/31002	---M-Z	200	added ('OK')	text/css	etag:%22f09a36676518d41:0%22	https://www.molpi.com.ar/vendor/font-awesome/css/font-awesome.min.css	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/vendor/font-awesome/css/font-awesome.min.css	(from https://www.molpi.com.ar/)
15:24:15	52799/52799	---M-Z	200	added ('OK')	text/css	etag:%22d015ae586518d41:0%22	https://www.molpi.com.ar/vendor/animate/animate.min.css	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/vendor/animate/animate.min.css	(from https://www.molpi.com.ar/)
15:24:15	10943/10943	---M-Z	200	added ('OK')	text/css	etag:%2270619d6e6518d41:0%22	https://www.molpi.com.ar/vendor/simple-line-icons/css/simple-line-icons.min.css	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/vendor/simple-line-icons/css/simple-line-icons.min.css	(from https://www.molpi.com.ar/)
15:24:15	2768/2768	---M-Z	200	added ('OK')	text/css	etag:%22f0ec3a6b6518d41:0%22	https://www.molpi.com.ar/vendor/owl.carousel/assets/owl.carousel.min.css	C:/Mis%20lugares%20Web/Molpi/www.molpi.com.ar/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://www.molpi.com.ar/)
